LAST SEEN   TYPE      REASON              OBJECT                                 MESSAGE
20m         Normal    Started             pod/web-deployment-76ddf5fcf9-876xn    Container started
19m         Normal    Killing             pod/web-deployment-ddd46bfd-zl7bp      Stopping container web
19m         Normal    SuccessfulDelete    replicaset/web-deployment-ddd46bfd     Deleted pod: web-deployment-ddd46bfd-zl7bp
19m         Normal    SuccessfulCreate    replicaset/web-deployment-67499b7844   Created pod: web-deployment-67499b7844-5868n
19m         Normal    ScalingReplicaSet   deployment/web-deployment              (combined from similar events): Scaled up replica set web-deployment-67499b7844 from 0 to 1
19m         Normal    Scheduled           pod/web-deployment-67499b7844-5868n    Successfully assigned dso202-practical-01/web-deployment-67499b7844-5868n to worker-node-2
16m         Normal    Pulling             pod/web-deployment-67499b7844-5868n    Pulling image "nginx:9.99-does-not-exist"
16m         Warning   Failed              pod/web-deployment-67499b7844-5868n    Failed to pull image "nginx:9.99-does-not-exist": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/library/nginx:9.99-does-not-exist": failed to resolve reference "docker.io/library/nginx:9.99-does-not-exist": docker.io/library/nginx:9.99-does-not-exist: not found
16m         Warning   Failed              pod/web-deployment-67499b7844-5868n    Error: ErrImagePull
4m34s       Warning   Failed              pod/web-deployment-67499b7844-5868n    Error: ImagePullBackOff
4m34s       Normal    BackOff             pod/web-deployment-67499b7844-5868n    Back-off pulling image "nginx:9.99-does-not-exist"
4m9s        Normal    ScalingReplicaSet   deployment/web-deployment              Scaled down replica set web-deployment-67499b7844 from 1 to 0
4m9s        Normal    SuccessfulDelete    replicaset/web-deployment-67499b7844   Deleted pod: web-deployment-67499b7844-5868n
3m59s       Normal    Killing             pod/web-deployment-76ddf5fcf9-xxg8n    Stopping container web
3m59s       Normal    ScalingReplicaSet   deployment/web-deployment              Scaled down replica set web-deployment-76ddf5fcf9 from 5 to 3
3m59s       Normal    SuccessfulDelete    replicaset/web-deployment-76ddf5fcf9   Deleted pod: web-deployment-76ddf5fcf9-876xn
3m59s       Normal    SuccessfulDelete    replicaset/web-deployment-76ddf5fcf9   Deleted pod: web-deployment-76ddf5fcf9-xxg8n
3m59s       Normal    Killing             pod/web-deployment-76ddf5fcf9-876xn    Stopping container web
